STATION,TYPE,STATION_NBR,LAT,LNG
Alturas,CZ2010,725958,41.5,-120.53
Arcata-AP,CZ2010,725945,40.98,-124.1
Bakersfield-Meadows-Fld,CZ2010,723840,35.43,-119.05
Beale-AFB,CZ2010,724837,39.13,-121.43
Bishop-AP,CZ2010,724800,37.37,-118.35
Blue-Canyon-AP,CZ2010,725845,39.3,-120.72
Blythe-Riverside-Co-AP,CZ2010,747188,33.62,-114.72
Burbank-Glndle-Pasad-AP,CZ2010,722880,34.2,-118.35
Camarillo(AWOS),CZ2010,723926,34.22,-119.08
Camp-Pendleton-MCAS,CZ2010,722926,33.3,-117.35
Carlsbad-McClellan,CZ2010,722927,33.13,-117.28
China-Lake-NAF,CZ2010,746120,35.68,-117.68
Chino-AP,CZ2010,722899,33.97,-117.63
Concord-Buchanan-Field,CZ2010,724936,38,-122.05
Crescent-City-FAA-AP,CZ2010,725946,41.78,-124.23
Daggett-Barstow-Daggett-AP,CZ2010,723815,34.85,-116.8
Edwards-AFB,CZ2010,723810,34.9,-117.88
El-Centro-NAF,CZ2010,722810,32.82,-115.68
Eureka,CZ2010,725940,40.8,-124.17
Fresno-Yosemite-IAP,CZ2010,723890,36.78,-119.72
Fullerton-Muni-AP,CZ2010,722976,33.87,-117.98
Hayward-Air-Term,CZ2010,724935,37.67,-122.12
Imperial,CZ2010,747185,32.83,-115.58
Imperial-Beach-Ream-Fld,CZ2010,722909,32.57,-117.12
Inyokern,CZ2010,723826,35.67,-117.83
Jack-Northrop-Fld-H,CZ2010,722956,33.92,-118.33
Lake-Tahoe,CZ2010,725847,38.9,-120
Lancaster-Gen-Wm-Fox-Field,CZ2010,723816,34.73,-118.22
Lemoore-Reeves-NAS,CZ2010,747020,36.33,-119.95
Livermore-Muni-AP,CZ2010,724927,37.7,-121.82
Lompoc(AWOS),CZ2010,722895,34.67,-120.47
Long-Beach-Daugherty-Fld,CZ2010,722970,33.83,-118.17
Los-Alamitos-AAF,CZ2010,722975,33.78,-118.05
Los-Angeles-Downtown-USC,CZ2010,722874,34.05,-118.23
Los-Angeles-IAP,CZ2010,722950,33.93,-118.4
Merced-Muni-Macready,CZ2010,724815,37.28,-120.52
Modesto-City-Co-AP,CZ2010,724926,37.63,-120.95
Mojave,CZ2010,722953,35.07,-118.15
Montague-Siskiyou-Co-AP,CZ2010,725955,41.78,-122.47
Monterey-Peninsula,CZ2010,724915,36.58,-121.85
Mount-Shasta,CZ2010,725957,41.33,-122.33
Napa-Co,CZ2010,724955,38.22,-122.28
Needles-AP,CZ2010,723805,34.77,-114.62
Oakland-Metro-AP,CZ2010,724930,37.72,-122.22
Oxnard-AP,CZ2010,723927,34.2,-119.2
Palm-Springs-IAP,CZ2010,722868,33.83,-116.5
Palm-Springs-Thermal-AP,CZ2010,747187,33.63,-116.17
Palmdale-AP,CZ2010,723820,34.63,-118.08
Palo-Alto-AP,CZ2010,724937,37.47,-122.12
Paso-Robles-Muni-AP,CZ2010,723965,35.67,-120.63
Point-Mugu-NF,CZ2010,723910,34.12,-119.12
Porterville(AWOS),CZ2010,723895,36.03,-119.07
Red-Bluff-Muni-AP,CZ2010,725910,40.15,-122.25
Redding-Muni-AP,CZ2010,725920,40.52,-122.32
Riverside-March-AFB,CZ2010,722860,33.88,-117.27
Riverside-Muni,CZ2010,722869,33.95,-117.43
Sacramento-Executive-AP,CZ2010,724830,38.5,-121.5
Sacramento-Metro-AP,CZ2010,724839,38.7,-121.58
Salinas-Muni-AP,CZ2010,724917,36.67,-121.6
San-Carlos-AP,CZ2010,724938,37.52,-122.25
San-Clemente-Is-NAAS,CZ2010,722925,33.02,-118.58
San-Diego-Gillespie,CZ2010,722907,32.83,-116.97
San-Diego-Lindbergh-Field,CZ2010,722900,32.73,-117.17
San-Diego-Montgomer,CZ2010,722903,32.82,-117.13
San-Diego-North-Island-NAS,CZ2010,722906,32.7,-117.2
San-Francisco-IAP,CZ2010,724940,37.62,-122.4
San-Jose-IAP,CZ2010,724945,37.37,-121.93
San-Jose-Reid-Hillv,CZ2010,724946,37.33,-121.82
San-Luis-Co-Rgnl-AP,CZ2010,722897,35.23,-120.63
San-Nicholas-Island,CZ2010,722910,33.25,-119.47
Sandberg,CZ2010,723830,34.75,-118.72
Santa-Ana-John-Wayne-AP,CZ2010,722977,33.68,-117.87
Santa-Barbara-Muni-AP,CZ2010,723925,34.43,-119.85
Santa-Maria-Public-AP,CZ2010,723940,34.92,-120.47
Santa-Monica-Muni,CZ2010,722885,34.02,-118.45
Santa-Rosa(AWOS),CZ2010,724957,38.52,-122.82
Stockton-Metro-AP,CZ2010,724920,37.9,-121.23
Torrance-Muni-AP,CZ2010,722955,33.8,-118.33
Travis-Fld-AFB,CZ2010,745160,38.27,-121.93
Truckee-Tahoe,CZ2010,725846,39.32,-120.13
Twentynine-Palms,CZ2010,690150,34.3,-116.17
Ukiah-Muni-AP,CZ2010,725905,39.13,-123.2
Van-Nuys-AP,CZ2010,722886,34.22,-118.48
Vandenberg-AFB,CZ2010,723930,34.75,-120.57
Visalia-Muni(AWOS),CZ2010,723896,36.32,-119.4
Yuba-Co,CZ2010,724838,39.1,-121.57